-0.120653	-0.120653	-0.120653	-0.120653	-0.120653	-0.120653	-0.120653	-0.120653	-0.120653	-0.120653	-0.120653	-0.120653	-0.120653	-0.120653	-0.120653
-0.101962	-0.101962	-0.101962	-0.101962	-0.101962	-0.101962	-0.101962	-0.101962	-0.101962	-0.101962	-0.101962	-0.101962	-0.101962	-0.101962	-0.101962
-0.083271	-0.083271	-0.083271	-0.083271	-0.083271	-0.083271	-0.083271	-0.083271	-0.083271	-0.083271	-0.083271	-0.083271	-0.083271	-0.083271	-0.083271
-0.064581	-0.064581	-0.064581	-0.064581	-0.064581	-0.064581	-0.064581	-0.064581	-0.064581	-0.064581	-0.064581	-0.064581	-0.064581	-0.064581	-0.064581
-0.045890	-0.045890	-0.045890	-0.045890	-0.045890	-0.045890	-0.045890	-0.045890	-0.045890	-0.045890	-0.045890	-0.045890	-0.045890	-0.045890	-0.045890
-0.027199	-0.027199	-0.027199	-0.027199	-0.027199	-0.027199	-0.027199	-0.027199	-0.027199	-0.027199	-0.027199	-0.027199	-0.027199	-0.027199	-0.027199
-0.008509	-0.008509	-0.008509	-0.008509	-0.008509	-0.008509	-0.008509	-0.008509	-0.008509	-0.008509	-0.008509	-0.008509	-0.008509	-0.008509	-0.008509
0.010182	0.010182	0.010182	0.010182	0.010182	0.010182	0.010182	0.010182	0.010182	0.010182	0.010182	0.010182	0.010182	0.010182	0.010182
0.028873	0.028873	0.028873	0.028873	0.028873	0.028873	0.028873	0.028873	0.028873	0.028873	0.028873	0.028873	0.028873	0.028873	0.028873
0.047563	0.047563	0.047563	0.047563	0.047563	0.047563	0.047563	0.047563	0.047563	0.047563	0.047563	0.047563	0.047563	0.047563	0.047563
0.066254	0.066254	0.066254	0.066254	0.066254	0.066254	0.066254	0.066254	0.066254	0.066254	0.066254	0.066254	0.066254	0.066254	0.066254
0.084945	0.084945	0.084945	0.084945	0.084945	0.084945	0.084945	0.084945	0.084945	0.084945	0.084945	0.084945	0.084945	0.084945	0.084945
0.103635	0.103635	0.103635	0.103635	0.103635	0.103635	0.103635	0.103635	0.103635	0.103635	0.103635	0.103635	0.103635	0.103635	0.103635
0.122326	0.122326	0.122326	0.122326	0.122326	0.122326	0.122326	0.122326	0.122326	0.122326	0.122326	0.122326	0.122326	0.122326	0.122326
0.141017	0.141017	0.141017	0.141017	0.141017	0.141017	0.141017	0.141017	0.141017	0.141017	0.141017	0.141017	0.141017	0.141017	0.141017
