0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000049	0.000000	0.000002	0.000000	0.000001	0.000000
0.000000	0.037620	0.011649	0.000000	0.000447	0.000000	0.000066	0.000206	0.000000	0.000002	0.000015	0.000000	0.000418	0.001300	0.000000
0.447672	0.061926	0.000000	0.014188	0.000000	0.117599	0.000000	5.306449	0.083295	1.024776	5.920231	0.000000	0.213165	0.000000	1.066533
0.000000	0.499941	0.000000	2.279295	0.592910	0.000000	0.012517	0.001861	0.017839	0.000121	0.023005	0.070917	0.000000	0.012961	0.000000
8.206574	4.112469	0.582911	0.000000	0.008335	0.310892	0.089996	0.010452	0.019484	0.111494	0.000000	0.004104	0.000000	0.001267	0.000000
0.000000	0.107586	0.000000	0.639150	0.164950	0.000000	0.003351	0.000110	0.004919	0.010561	0.000000	0.291990	0.765191	0.000000	1.922165
0.000000	0.187584	0.058557	0.000000	0.000000	0.031764	0.002055	0.001089	0.004387	0.001736	0.013940	0.000000	0.000394	0.000034	0.000850
0.000000	1.427845	0.425866	0.000000	0.017980	0.008560	0.000000	0.068899	0.000000	0.001951	0.008959	0.000000	0.375757	0.886913	0.000000
0.000000	0.016087	0.065196	0.242562	0.000000	1.823894	0.000000	78.295773	0.000000	1.918229	0.000000	0.222302	0.000000	0.100787	0.000000
0.751381	0.000000	0.475658	0.170767	0.073821	0.047020	0.000000	1.379266	0.473839	0.000000	0.011738	0.000000	0.028252	0.082429	0.000000
0.425231	0.000000	0.240947	0.345947	0.000000	0.130632	0.000000	5.367513	0.000000	0.141488	0.000000	0.017877	0.008278	0.001764	0.000000
0.680349	0.000000	0.292020	0.110498	0.000000	0.003888	0.000000	0.000000	0.025826	0.337908	0.202350	0.000000	0.014482	0.012962	0.000000
0.074136	0.000000	0.015041	0.000000	0.289931	0.000000	8.797927	0.000000	0.188320	0.362344	0.000000	0.024294	0.012545	0.071347	0.835390
0.017192	0.000000	0.003433	0.000000	0.069916	0.005454	0.054895	0.008145	0.000450	0.000000	0.000000	0.000900	0.003233	0.000344	0.002246
0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000008	0.000005	0.000064	0.000211	0.000000
