0.000052	0.000000	0.000002	0.000346	0.006439	0.033183	0.000216	0.462255	0.058951	0.153551
0.127091	0.010943	0.284655	0.306934	0.000000	0.007844	0.073892	0.026922	0.001165	0.138029
0.031087	0.041680	4.555215	0.480462	0.048935	2.380864	0.011287	0.095291	0.001048	0.622962
0.032107	0.130308	0.041479	0.803012	2.478813	0.444655	0.028780	0.143773	0.041174	0.180209
0.258425	0.037264	0.245348	0.349975	1.046408	0.218328	0.272020	0.589887	0.190065	0.003018
0.066482	0.031531	0.026459	0.026840	0.253905	0.076963	5.369677	0.039383	0.064913	0.104835
0.018682	0.035409	0.136150	0.215772	2.443700	0.078403	0.526864	0.041859	0.029232	0.006249
0.226573	0.324294	0.886940	0.038621	10.873300	0.366840	5.830116	0.194072	0.011429	0.031632
0.000230	0.003388	0.004501	0.037857	2.911347	0.141537	0.009134	0.009831	0.052911	0.023930
0.000000	0.000378	0.000002	0.021964	0.000000	0.020551	0.000208	0.000000	0.000000	0.000000
