-0.159133	-0.159133	-0.159133	-0.159133	-0.159133	-0.159133	-0.159133	-0.159133	-0.159133	-0.159133
-0.120453	-0.120453	-0.120453	-0.120453	-0.120453	-0.120453	-0.120453	-0.120453	-0.120453	-0.120453
-0.081772	-0.081772	-0.081772	-0.081772	-0.081772	-0.081772	-0.081772	-0.081772	-0.081772	-0.081772
-0.043092	-0.043092	-0.043092	-0.043092	-0.043092	-0.043092	-0.043092	-0.043092	-0.043092	-0.043092
-0.004412	-0.004412	-0.004412	-0.004412	-0.004412	-0.004412	-0.004412	-0.004412	-0.004412	-0.004412
0.034269	0.034269	0.034269	0.034269	0.034269	0.034269	0.034269	0.034269	0.034269	0.034269
0.072949	0.072949	0.072949	0.072949	0.072949	0.072949	0.072949	0.072949	0.072949	0.072949
0.111630	0.111630	0.111630	0.111630	0.111630	0.111630	0.111630	0.111630	0.111630	0.111630
0.150310	0.150310	0.150310	0.150310	0.150310	0.150310	0.150310	0.150310	0.150310	0.150310
0.188991	0.188991	0.188991	0.188991	0.188991	0.188991	0.188991	0.188991	0.188991	0.188991
